optimizer,seed,wall_clock_s,ppl
adamw,42,6.53,148.7067
adamw,42,25.50,112.6560
adamw,42,43.04,82.5069
adamw,42,60.79,54.6896
adamw,42,97.25,37.4680
adamw,42,137.89,28.5375
adamw,42,182.34,23.6325
adamw,42,220.78,20.6589
adamw,42,254.79,18.7545
adamw,42,290.10,17.6057
adamw,42,322.14,16.7743
adamw,42,374.19,16.2468
adamw,42,413.63,15.8245
adamw,42,449.43,15.4520
adamw,42,481.98,15.1534
adamw,42,520.38,14.9748
adamw,42,554.72,14.8452
adamw,42,590.76,14.7617
adamw,42,626.44,14.6753
adamw,42,671.57,14.5976
scao,42,11.93,140.7430
scao,42,46.61,105.1827
scao,42,85.34,71.9909
scao,42,120.63,45.3863
scao,42,158.16,34.5148
scao,42,196.89,28.0027
scao,42,234.99,24.0167
scao,42,276.61,21.5995
scao,42,317.84,20.1439
scao,42,360.62,19.1039
scao,42,395.65,18.2889
scao,42,431.93,17.7449
scao,42,466.68,17.4021
scao,42,501.99,17.1396
scao,42,543.45,16.8732
scao,42,580.68,16.6844
scao,42,623.27,16.5576
scao,42,671.68,16.4730
scao,42,710.03,16.3836
scao,42,774.07,16.3263
