step,adamw,scao
1,5.5728559494018555,5.5728559494018555
2,5.578701019287109,5.578701019287109
3,5.586780548095703,5.586779594421387
4,5.573197364807129,5.573197364807129
5,5.55900239944458,5.55900239944458
6,5.579440593719482,5.579440593719482
7,5.565978050231934,5.565978050231934
8,5.568857192993164,5.568857192993164
9,5.5764312744140625,5.576431751251221
10,5.573879718780518,5.573879718780518
11,5.5734405517578125,5.5734405517578125
12,5.573633193969727,5.573633193969727
13,5.564875602722168,5.564875602722168
14,5.560469627380371,5.560469627380371
15,5.584121227264404,5.584121227264404
16,5.569767951965332,5.569767951965332
17,5.562833786010742,5.562833309173584
18,5.558739185333252,5.558739185333252
19,5.569887638092041,5.569887638092041
20,5.548027515411377,5.548027515411377
21,5.552359580993652,5.552359580993652
22,5.557245254516602,5.557244777679443
23,5.5531721115112305,5.5531721115112305
24,5.551608562469482,5.551608562469482
25,5.547980785369873,5.547980785369873
26,5.558878421783447,5.558878421783447
27,5.572822570800781,5.572822570800781
28,5.558602333068848,5.558602333068848
29,5.554257869720459,5.554257392883301
30,5.559041500091553,5.559041500091553
31,5.564431190490723,5.564431190490723
32,5.570614337921143,5.570614337921143
33,5.541515350341797,5.541515350341797
34,5.551905632019043,5.551905632019043
35,5.560442924499512,5.560442924499512
36,5.552741527557373,5.552741050720215
37,5.552472114562988,5.552472114562988
38,5.564489364624023,5.564489364624023
39,5.560131549835205,5.560131549835205
40,5.56781005859375,5.56781005859375
41,5.559487342834473,5.559488296508789
42,5.549378395080566,5.549378395080566
43,5.554733753204346,5.554733753204346
44,5.542470455169678,5.5424699783325195
45,5.553576946258545,5.553576946258545
46,5.560152530670166,5.560152530670166
47,5.557215213775635,5.557215213775635
48,5.553524017333984,5.553524017333984
49,5.558567523956299,5.558567523956299
50,5.561322212219238,5.561322212219238
51,5.562047481536865,5.562047481536865
52,5.554262161254883,5.5553483963012695
53,5.554727077484131,5.554988861083984
54,5.564721584320068,5.566233158111572
55,5.55735969543457,5.562169075012207
56,5.548841953277588,5.54956579208374
57,5.553441524505615,5.5556817054748535
58,5.551535606384277,5.55885648727417
59,5.548044204711914,5.556419372558594
60,5.554605007171631,5.5576372146606445
61,5.541609287261963,5.5446882247924805
62,5.551147937774658,5.548646926879883
63,5.546630859375,5.547421932220459
64,5.554196834564209,5.549775123596191
65,5.555569171905518,5.558575630187988
66,5.5655622482299805,5.562289237976074
67,5.556685924530029,5.547102928161621
68,5.539889812469482,5.554402828216553
69,5.552992820739746,5.554600715637207
70,5.563039302825928,5.557827472686768
71,5.564231872558594,5.546955585479736
72,5.550198554992676,5.556711673736572
73,5.54953145980835,5.559920787811279
74,5.554469108581543,5.542832851409912
75,5.542092323303223,5.5447916984558105
76,5.54931640625,5.550760269165039
77,5.539743900299072,5.549052715301514
78,5.5560760498046875,5.549284934997559
79,5.550052165985107,5.553570747375488
80,5.551743507385254,5.549341201782227
81,5.550701141357422,5.562289237976074
82,5.545189380645752,5.559484481811523
83,5.5510478019714355,5.564089298248291
84,5.5521464347839355,5.561048984527588
85,5.550338268280029,5.563986301422119
86,5.561927318572998,5.557210922241211
87,5.551202774047852,5.563952922821045
88,5.554379940032959,5.563688278198242
89,5.549014091491699,5.549198627471924
90,5.560193061828613,5.565088748931885
91,5.557939052581787,5.5522332191467285
92,5.562680244445801,5.553189277648926
93,5.550804138183594,5.550830364227295
94,5.540013790130615,5.566745281219482
95,5.56000280380249,5.5555830001831055
96,5.549357891082764,5.544004440307617
97,5.5422773361206055,5.561646461486816
98,5.547672271728516,5.546198844909668
99,5.547053337097168,5.553074359893799
100,5.562369346618652,5.549615859985352
101,5.553606033325195,5.549443244934082
102,5.5562543869018555,5.561091423034668
103,5.561988353729248,5.55452299118042
104,5.5509867668151855,5.552496910095215
105,5.556737422943115,5.549616813659668
106,5.545437812805176,5.556689262390137
107,5.544948101043701,5.554817199707031
108,5.550923824310303,5.552165985107422
109,5.550558090209961,5.559720993041992
110,5.554694175720215,5.552618980407715
111,5.550689697265625,5.5534796714782715
112,5.546702861785889,5.557896137237549
113,5.548987865447998,5.560439109802246
114,5.5519537925720215,5.560345649719238
115,5.555761337280273,5.5548858642578125
116,5.55529260635376,5.566400527954102
117,5.553295612335205,5.546958923339844
118,5.560089588165283,5.541668891906738
119,5.553009510040283,5.551092624664307
120,5.541245937347412,5.554479122161865
121,5.54341983795166,5.557797908782959
122,5.548706531524658,5.54417610168457
123,5.552799701690674,5.560694694519043
124,5.556771755218506,5.557170391082764
125,5.557830333709717,5.549771785736084
126,5.561481475830078,5.545320510864258
127,5.551242828369141,5.568314075469971
128,5.558905124664307,5.553459167480469
129,5.551717281341553,5.551116466522217
130,5.548871040344238,5.550541400909424
131,5.554014205932617,5.554506778717041
132,5.554259777069092,5.543590545654297
133,5.548519134521484,5.5600457191467285
134,5.545146465301514,5.553937911987305
135,5.556709289550781,5.553813934326172
136,5.562225818634033,5.554797649383545
137,5.549267768859863,5.555383205413818
138,5.550894260406494,5.551187992095947
139,5.550369739532471,5.56399393081665
140,5.555720806121826,5.546352386474609
141,5.554257392883301,5.552723407745361
142,5.554064750671387,5.561853408813477
143,5.5530595779418945,5.551970481872559
144,5.558864593505859,5.555220603942871
145,5.548343181610107,5.5636796951293945
146,5.554004192352295,5.552350044250488
147,5.550609588623047,5.553647518157959
148,5.549732685089111,5.552824974060059
149,5.537771701812744,5.559471130371094
150,5.5598955154418945,5.560048580169678
