optimizer,scale,n_params,steps,seed,final_train,final_val,final_ppl,avg_last_20,auc,total_time_s,tokens_per_sec,peak_mem_gb
adamw,1M,837888,200,42,2.6237757205963135,2.680860481262207,14.597648896524271,2.651871347427368,3.267444581985474,883.3717174999183,463.67796465029784,0.01248563826084137
scao,1M,837888,200,42,2.6633286476135254,2.720839500427246,15.193071482710776,2.691907727718353,3.242897956371307,858.4835396000417,477.12038857591637,0.026266098022460938
