optimizer,seed,wall_clock_s,ppl
adamw,42,6.57,148.7067
adamw,42,22.90,112.6560
adamw,42,48.40,82.5069
adamw,42,82.84,54.6896
adamw,42,117.66,37.4680
adamw,42,149.79,28.5375
adamw,42,185.80,23.6325
adamw,42,218.84,20.6589
adamw,42,251.72,18.7545
adamw,42,283.50,17.6057
adamw,42,321.00,16.7743
adamw,42,355.29,16.2468
adamw,42,388.18,15.8245
adamw,42,431.86,15.4520
adamw,42,468.81,15.1534
adamw,42,501.48,14.9748
adamw,42,533.10,14.8452
adamw,42,566.07,14.7617
adamw,42,597.89,14.6753
adamw,42,652.60,14.5976
scao,42,12.30,149.6049
scao,42,45.58,113.7046
scao,42,80.87,84.5125
scao,42,113.34,57.1945
scao,42,147.24,39.6426
scao,42,182.04,30.7831
scao,42,215.28,26.1453
scao,42,257.73,23.4781
scao,42,291.85,21.9006
scao,42,326.93,20.9492
scao,42,366.16,20.3496
scao,42,400.73,19.9161
scao,42,434.08,19.5642
scao,42,469.89,19.2483
scao,42,512.66,18.8725
scao,42,550.72,18.6435
scao,42,589.49,18.4501
scao,42,631.26,18.3467
scao,42,672.49,18.1891
scao,42,712.22,18.0794
