optimizer,seed,wall_clock_s,ppl
adamw,42,23.49,148.7067
adamw,42,105.79,112.6560
adamw,42,175.48,82.5069
adamw,42,237.38,54.6896
adamw,42,299.51,37.4680
adamw,42,355.38,28.5375
adamw,42,397.41,23.6325
adamw,42,434.87,20.6589
adamw,42,467.38,18.7545
adamw,42,500.01,17.6057
adamw,42,546.51,16.7743
adamw,42,590.11,16.2468
adamw,42,637.17,15.8245
adamw,42,699.85,15.4520
adamw,42,753.39,15.1534
adamw,42,791.23,14.9748
adamw,42,827.89,14.8452
adamw,42,870.26,14.7617
adamw,42,911.45,14.6753
adamw,42,949.99,14.5976
scao,42,15.50,149.6049
scao,42,50.30,113.7046
scao,42,82.39,84.5125
scao,42,116.31,57.1945
scao,42,150.18,39.7606
scao,42,190.48,31.2102
scao,42,225.12,26.8665
scao,42,258.54,24.3919
scao,42,294.60,22.8851
scao,42,328.03,22.0051
scao,42,363.68,21.3752
scao,42,397.40,20.9581
scao,42,430.65,20.5876
scao,42,465.20,20.2699
scao,42,498.62,19.9204
scao,42,532.60,19.7143
scao,42,566.58,19.5453
scao,42,602.27,19.4759
scao,42,638.01,19.3198
scao,42,671.95,19.2404
