optimizer,seed,wall_clock_s,ppl
adamw,42,15.98,116.5229
adamw,42,42.38,66.5564
adamw,42,68.01,34.7519
adamw,42,93.25,21.7346
adamw,42,118.97,16.9728
adamw,42,154.26,15.0195
adamw,42,206.78,14.0978
adamw,42,270.43,13.4651
adamw,42,319.93,13.2326
adamw,42,369.99,12.7835
adamw,42,396.38,12.6075
adamw,42,421.70,12.4974
adamw,42,462.48,12.2746
adamw,42,513.26,12.2202
adamw,42,563.49,12.1451
adamw,42,616.59,12.0276
adamw,42,667.08,11.9785
adamw,42,716.76,11.9383
adamw,42,767.41,11.8942
adamw,42,801.80,11.8539
scao,42,16.33,117.5468
scao,42,66.01,68.5892
scao,42,120.64,36.3092
scao,42,174.24,23.0127
scao,42,248.61,19.3651
scao,42,315.58,17.1757
scao,42,388.50,16.1121
scao,42,462.22,15.3712
scao,42,526.31,14.7936
scao,42,598.67,14.3948
scao,42,675.21,14.1201
scao,42,738.67,13.8888
scao,42,796.70,13.7077
scao,42,872.42,13.5892
scao,42,942.70,13.5458
scao,42,1007.91,13.3735
scao,42,1075.33,13.3204
scao,42,1142.23,13.2639
scao,42,1204.05,13.2167
scao,42,1267.80,13.1629
