optimizer,seed,wall_clock_s,ppl
adamw,42,6.17,148.7067
adamw,42,22.32,112.6560
adamw,42,54.02,82.5069
adamw,42,92.50,54.6896
adamw,42,124.54,37.4680
adamw,42,161.21,28.5375
adamw,42,198.92,23.6325
adamw,42,234.07,20.6589
adamw,42,266.09,18.7545
adamw,42,303.76,17.6057
adamw,42,336.23,16.7743
adamw,42,382.05,16.2468
adamw,42,421.81,15.8245
adamw,42,465.54,15.4520
adamw,42,507.50,15.1534
adamw,42,541.35,14.9748
adamw,42,580.17,14.8452
adamw,42,615.87,14.7617
adamw,42,656.62,14.6753
adamw,42,698.41,14.5976
scao,42,16.76,148.7067
scao,42,64.17,112.6560
scao,42,101.11,82.5069
scao,42,139.21,54.6896
scao,42,174.19,37.5557
scao,42,207.90,28.9729
scao,42,246.92,24.3337
scao,42,284.33,21.5837
scao,42,337.64,19.9975
scao,42,384.70,19.0941
scao,42,427.47,18.4375
scao,42,467.09,17.9906
scao,42,501.38,17.6501
scao,42,536.06,17.3576
scao,42,570.43,16.9878
scao,42,606.52,16.7635
scao,42,641.64,16.5961
scao,42,679.94,16.5019
scao,42,715.83,16.3649
scao,42,752.32,16.2696
