optimizer,scale,n_params,steps,seed,final_train,final_val,final_ppl,avg_last_20,auc,total_time_s,tokens_per_sec,peak_mem_gb
adamw,1M,837888,200,42,2.609443187713623,2.6979486656188967,14.84923970496087,2.6730387449264525,3.289305282831192,249.54487310000695,820.6940798095454,0.0
scao,1M,837888,200,42,2.7116637229919434,2.798486475944519,16.41977622845508,2.768521749973297,3.3539043509960176,190.83978559996467,1073.1514885962956,0.0
diag_shampoo,1M,837888,200,42,4.459746360778809,4.489192714691162,89.0495284775349,4.477831196784973,4.808437628746033,190.79926289990544,1073.3794087424722,0.0
