optimizer,seed,wall_clock_s,ppl
adamw,42,6.02,148.7067
adamw,42,22.60,112.6560
adamw,42,38.88,82.5069
adamw,42,62.84,54.6896
adamw,42,97.51,37.4680
adamw,42,131.05,28.5375
adamw,42,166.46,23.6325
adamw,42,216.73,20.6589
adamw,42,259.35,18.7545
adamw,42,300.29,17.6057
adamw,42,336.45,16.7743
adamw,42,376.19,16.2468
adamw,42,412.47,15.8245
adamw,42,447.93,15.4520
adamw,42,492.01,15.1534
adamw,42,531.04,14.9748
adamw,42,573.63,14.8452
adamw,42,611.74,14.7617
adamw,42,647.82,14.6753
adamw,42,688.54,14.5976
scao,42,15.19,148.7067
scao,42,70.89,112.6560
scao,42,107.91,82.5069
scao,42,149.52,54.6896
scao,42,187.58,37.5911
scao,42,242.08,29.0142
scao,42,292.73,24.4111
scao,42,356.03,21.8103
scao,42,402.80,20.3898
scao,42,455.84,19.5768
scao,42,498.75,19.1515
scao,42,557.76,18.7885
scao,42,651.55,18.5153
scao,42,720.85,18.2714
scao,42,772.30,17.9439
scao,42,832.03,17.7303
scao,42,910.07,17.5343
scao,42,956.11,17.3998
scao,42,1000.28,17.2706
scao,42,1040.07,17.1653
