optimizer,scale,n_params,steps,seed,final_train,final_val,final_ppl,avg_last_20,auc,total_time_s,tokens_per_sec,peak_mem_gb
adamw,5M,2732928,50,42,3.200871706008911,3.2768498277664184,26.492186163744613,3.3294281721115113,3.8771830797195435,445.2280134999892,229.99451268805325,0.04072399437427521
scao,5M,2732928,50,42,3.088167667388916,3.175535116195679,23.939626923523498,3.2046437859535217,3.778803277015686,431.2670538999373,237.4398857366899,0.08094632625579834
adamw,10M,4856320,50,42,2.9238641262054443,2.9447813177108766,19.006505545830297,2.9809337735176085,3.5767146253585818,1455.3839364000596,140.71888171761714,0.07236500084400177
scao,10M,4856320,50,42,2.87068772315979,2.8954193353652955,18.09108608308357,2.917105734348297,3.502609815597534,1534.4377222999465,133.46908579191356,0.1430424451828003
