optimizer,seed,wall_clock_s,ppl
adamw,42,6.73,148.7067
adamw,42,24.30,112.6560
adamw,42,52.10,82.5069
adamw,42,87.00,54.6896
adamw,42,132.26,37.4680
adamw,42,179.79,28.5375
adamw,42,214.21,23.6325
adamw,42,246.88,20.6589
adamw,42,280.15,18.7545
adamw,42,312.89,17.6057
adamw,42,352.03,16.7743
adamw,42,388.23,16.2468
adamw,42,427.38,15.8245
adamw,42,461.83,15.4520
adamw,42,497.72,15.1534
adamw,42,542.49,14.9748
adamw,42,576.28,14.8452
adamw,42,610.63,14.7617
adamw,42,648.66,14.6753
adamw,42,681.62,14.5976
scao,42,14.93,149.6049
scao,42,61.59,113.7046
scao,42,99.79,84.5125
scao,42,146.08,57.1945
scao,42,184.07,40.9293
scao,42,243.39,33.5805
scao,42,285.42,29.2400
scao,42,326.80,26.2104
scao,42,367.11,24.0777
scao,42,404.42,22.4105
scao,42,437.58,21.2173
scao,42,487.73,20.4076
scao,42,525.02,19.6837
scao,42,562.37,19.1178
scao,42,598.46,18.6590
scao,42,633.19,18.3522
scao,42,671.34,18.1115
scao,42,706.94,17.9236
scao,42,740.29,17.7797
scao,42,775.69,17.6571
