optimizer,scale,n_params,steps,seed,final_train,final_val,final_ppl,avg_last_20,auc,total_time_s,tokens_per_sec,peak_mem_gb
adamw,1M,837888,200,42,2.6237757205963135,2.680860481262207,14.597648896524271,2.651871347427368,3.267444581985474,705.156022900017,580.864357246051,0.01248563826084137
scao,1M,837888,200,42,2.8118202686309814,2.8711405277252195,17.657145183594167,2.8421491265296934,3.4308731245994566,810.6439544999739,505.27731407391036,0.024946287274360657
